Cnt,Particle,Generation,Kpx,Kpa,Kda,MaxAngle, Overshoot, J
312,32,5,100,9.195239,0,22.104901,15.38804,81.871684
313,33,5,100,35.761781,0.038792,22.104901,15.059167,79.21737
314,34,5,29.984838,0,0.00057,0.753054,0,3584.680891
315,35,5,0,0,0,0.055351,0,3608.188443
316,36,5,0,22.786432,0.088788,1.665126,0,3594.970808
317,37,5,0,71.060309,0.455596,1.791493,0,3583.977324
318,38,5,41.49576,0,1.495637,4.986197,0,3456.991418
319,39,5,27.136695,87.579626,0,20.320214,25.941425,67.85952
320,40,5,79.070604,11.681966,1.276101,22.104901,13.612017,58.963138
321,41,5,1.467577,0,0.024772,0.740074,0,3550.651756
322,42,5,35.559268,50.639194,1.553562,22.104901,18.695856,64.454314
323,43,5,19.683911,10.6984,0.780516,12.053412,16.944405,49.014754
324,44,5,0,21.785762,2,0.649632,0,3630.326175
325,45,5,0,94.91208,0.495493,2.104343,0,3578.156072
326,46,5,24.249811,0,1.59254,3.872578,0,2774.320374
327,47,5,71.957367,0,0.060533,5.475433,0,3180.081742
328,48,5,0,100,0.726419,1.889057,0,3581.116081
329,49,5,61.733067,0,0,0.055351,0,3608.188443
330,50,5,19.504061,5.808513,0.491024,11.474274,13.665657,46.035157
331,51,5,100,46.737552,0.088415,22.104901,17.150961,84.879449
332,52,5,0,6.212955,0.38977,0.923394,0,3645.813254
333,53,5,68.017193,0,0.182321,5.207231,0,3150.414385
334,54,5,9.976263,1.821458,0.392562,5.063756,31.368431,54.736753
335,55,5,21.085517,0,0.459914,3.872578,0,2963.588415
336,56,5,2.66566,66.579922,0.830445,3.872578,18.834269,80.244722
337,57,5,86.048568,0,0.665174,6.130599,0,2977.163146
338,58,5,0,1.292861,1.508382,0.617177,0,3628.690236
339,59,5,3.362888,0,0.034997,1.79372,0,3451.231893
340,60,5,0,42.045792,0,2.875208,0,3615.983211
341,61,5,99.637588,50.352818,0,22.104901,15.466135,81.19541
342,62,5,0,13.12331,0.746915,0.87581,0,3638.887736
343,63,5,5.840919,26.369527,0.616996,4.986197,41.980471,79.778609
344,64,5,36.045055,8.674339,0.689464,18.04499,15.824827,52.706084
345,65,5,0.333021,0,0.004316,0.075947,0,3605.899428
346,66,5,88.675784,0,0.493208,6.130599,0,3320.307115
347,67,5,57.736614,11.003276,1.596935,22.104901,11.842661,55.631888
348,68,5,25.047323,76.901909,1.29101,17.643609,23.575506,64.513163
349,69,5,15.576265,0,0.004648,2.225877,0,3501.413969
350,0,6,17.007133,46.125152,0.28991,14.009564,24.526905,63.008592
351,1,6,0,0,1.044235,0.569947,0,3618.439523
352,2,6,34.701689,0,1.150745,4.986197,0,2820.982082
353,3,6,100,0,0.008215,6.050268,0,3307.341477
354,4,6,3.706025,1.069971,0.024819,3.813325,26.778813,67.049011
355,5,6,5.473496,0,1.066322,2.391789,0,3260.43721
356,6,6,0.862627,0,0.023967,0.428213,0,3575.198475
357,7,6,0.974208,0.085683,0.010247,0.463085,0,1904.004868
358,8,6,0.595139,0.293562,0,0.535661,0,1008.187561
359,9,6,45.280645,14.47473,0,22.104901,17.148971,71.471581
360,10,6,0,0.126712,0.015407,0.062142,0,3608.183805
361,11,6,69.15657,24.984753,0.470746,22.104901,18.682159,78.316352
362,12,6,1.710031,0,0.02609,0.8892,0,3537.822336
363,13,6,50.456996,100,0.123952,22.104901,17.390498,72.275253
364,14,6,23.681108,36.409625,1.925041,14.009564,18.571864,53.002113
365,15,6,0,68.101828,0.808053,1.372738,0,3591.057309
366,16,6,0,7.596233,0,2.426097,0,3726.884436
367,17,6,0,34.17852,0.702057,1.33109,0,3590.017944
368,18,6,17.007085,100,0.348685,14.986921,25.793431,64.051202
369,19,6,58.816748,100,2,22.104901,19.488707,73.981544
370,20,6,69.966439,0,0.012734,5.688729,0,3296.034952
371,21,6,5.338712,0,0.020583,2.111558,0,3457.68387
372,22,6,0,1.715857,1.11236,0.947009,0,3602.079465
